Item_Name,Quantity,Transaction_Type
Tomatoes,56,debit
Cooking Oil,24,credit
Tomatoes,189,credit
Sauce,74,credit
Chicken Breast,73,credit
Cooking Oil,42,credit
Rice,37,debit
Cooking Oil,38,debit
Chicken Breast,90,debit
Cheese,32,credit
Cooking Oil,31,credit
Tomatoes,147,credit
Cheese,37,debit
Chicken Breast,167,credit
Ghee,30,debit
Sauce,66,credit
Tomatoes,61,credit
Onions,40,credit
Tomatoes,147,debit
Noodles,66,credit
Cheese,37,credit
Onions,119,credit
Sauce,41,credit
Maida,99,debit
Onions,111,credit
Cheese,18,credit
Chicken Breast,130,debit
Onions,38,credit
Sauce,60,credit
Noodles,70,debit
Maida,73,credit
Cooking Oil,45,debit
Sauce,74,debit
Cheese,29,credit
Rice,56,credit
Chicken Breast,78,credit
Maida,141,debit
Sauce,28,debit
Ghee,96,debit
Rice,41,credit
Tomatoes,187,debit
Cheese,22,debit
Ghee,40,debit
Chicken Breast,117,credit
Rice,31,debit
Rice,63,credit
Maida,87,credit
Rice,74,credit
Sauce,61,debit
Chicken Breast,78,debit
Onions,60,credit
Cooking Oil,46,credit
Tomatoes,174,credit
Rice,74,credit
Maida,124,debit
Rice,35,debit
Rice,80,debit
Cooking Oil,44,credit
Onions,81,debit
Noodles,86,debit
Tomatoes,113,credit
Tomatoes,136,credit
Sauce,90,credit
Sauce,48,credit
Tomatoes,211,credit
Cooking Oil,214,credit
Cheese,19,credit
Onions,115,debit
Cooking Oil,244,credit
Sauce,293,debit
Cooking Oil,40,debit
Cooking Oil,16,credit
Ghee,65,debit
Ghee,79,credit
Tomatoes,65,debit
Cheese,221,credit
Cooking Oil,22,debit
Maida,94,credit
Onions,89,credit
Tomatoes,163,credit
Chicken Breast,188,credit
Tomatoes,110,credit
Ghee,82,debit
Cooking Oil,35,credit
Maida,88,credit
Ghee,53,debit
Onions,84,debit
Maida,64,debit
Cooking Oil,13,credit
Cheese,18,credit
Sauce,81,credit
Chicken Breast,180,credit
Maida,48,credit
Cooking Oil,35,credit
Sauce,51,credit
Sauce,30,debit
Sauce,92,debit
Onions,56,debit
Cooking Oil,26,debit
Maida,125,debit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Cooking Oil,5,debit
Chicken Breast,2,debit
Cooking Oil,10,credit
Cooking Oil,5,debit
Chicken Breast,2,debit
Cooking Oil,5,debit
Chicken Breast,2,debit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Ghee,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
Noodles,10,credit
